-------------------------------------------------------------------------------
Interface  Vsan   Admin  Admin   Status       SFP    Oper  Oper   Port
                  Mode   Trunk                       Mode  Speed  Channel
                         Mode                              (Gbps)
-------------------------------------------------------------------------------
fc9/31     11     FX     off     up           swl   F      8      --
fc9/32     11     FX     off     up           swl   F      8      --
fc9/33     11     FX     off     up           swl   F      8      --
fc9/34     11     FX     off     up           swl   F      8      --
fc9/35     11     FX     off     up           swl   F      8      --
fc9/36     3      FX     off     up           swl   F      8      --
fc9/37     11     FX     off     up           swl   F      8      --
fc9/38     11     FX     off     up           swl   F      8      --
fc9/39     11     FX     off     notConnected swl    --    --     --
fc9/40     11     FX     off     up           swl   F      8      --
fc9/41     11     FX     off     up           swl   F      8      --
fc9/42     3      FX     off     up           swl   F      8      --
fc9/43     11     FX     off     up           swl   F      8      --
fc9/44     11     FX     off     invalidBindi swl    --    --     --
fc9/45     3      FX     off     up           swl   F      2      --
fc9/46     11     FX     off     up           swl   F      8      --
fc9/47     11     FX     off     up           swl   F      8      --
fc9/48     3      FX     off     up           swl   F      8      --
fc10/1     3      FX     on      notConnected swl    --    --     --
fc10/2     11     FX     off     up           swl   F      8      --
fc10/3     11     FX     off     up           swl   F      8      --
fc10/4     3      FX     off     up           swl   F      8      --
fc10/5     11     FX     off     up           swl   F      8      --
fc10/6     11     FX     off     invalidBindi swl    --    --     --
fc10/7     3      FX     on      notConnected swl    --    --     --
fc10/8     11     FX     off     up           swl   F      8      --
fc10/9     11     FX     off     up           swl   F      8      --
fc10/10    3      FX     off     up           swl   F      8      --
fc10/11    11     FX     off     up           swl   F      8      --
fc10/12    3      FX     off     up           swl   F      8      --
fc10/13    1      FX     on      down         swl    --    --     --
fc10/14    11     FX     off     up           swl   F      8      --
fc10/15    11     FX     off     up           swl   F      8      --
fc10/16    11     FX     off     up           swl   F      8      --
fc10/17    11     FX     off     up           swl   F      8      --
fc10/18    11     FX     off     up           swl   F      8      --
fc10/19    11     FX     off     up           swl   F      8      --
fc10/20    11     FX     off     up           swl   F      8      --
fc10/21    11     FX     off     up           swl   F      8      --
fc10/22    11     FX     off     up           swl   F      8      --
fc10/23    11     FX     off     up           swl   F      8      --
fc10/24    11     FX     off     up           swl   F      8      --
fc10/25    11     FX     off     up           swl   F      8      --
fc10/26    11     FX     off     up           swl   F      8      --
fc10/27    11     FX     off     up           swl   F      8      --
fc10/28    11     FX     off     up           swl   F      8      --
fc10/29    11     FX     off     up           swl   F      8      --
fc10/30    3      FX     off     up           swl   F      8      --
fc10/31    11     FX     off     up           swl   F      8      --
fc10/32    11     FX     off     up           swl   F      8      --
fc10/33    11     FX     off     up           swl   F      8      --
fc10/34    11     FX     off     up           swl   F      8      --
fc10/35    11     FX     off     up           swl   F      8      --
fc10/36    3      FX     off     up           swl   F      8      --
fc10/37    11     FX     off     up           swl   F      8      --
fc10/38    11     FX     off     up           swl   F      8      --
fc10/39    11     FX     off     notConnected swl    --    --     --
fc10/40    11     FX     off     up           swl   F      8      --
fc10/41    11     FX     off     up           swl   F      8      --
fc10/42    3      FX     off     up           swl   F      8      --
fc10/43    11     FX     off     up           swl   F      8      --
fc10/44    11     FX     off     up           swl   F      8      --
fc10/45    3      FX     off     up           swl   F      2      --
fc10/46    11     FX     off     up           swl   F      8      --
fc10/47    11     FX     off     up           swl   F      8      --
fc10/48    3      FX     off     up           swl   F      8      --
fc11/1     11     FX     off     up           swl   F      8      --
fc11/2     11     FX     off     up           swl   F      8      --
fc11/3     11     FX     off     up           swl   F      8      --
fc11/4     11     FX     off     up           swl   F      8      --
fc11/5     11     FX     off     up           swl   F      8      --
fc11/6     11     FX     off     up           swl   F      8      --
fc11/7     11     FX     off     up           swl   F      8      --
fc11/8     11     FX     off     up           swl   F      8      --
fc11/9     11     FX     off     up           swl   F      8      --
fc11/10    11     FX     off     up           swl   F      8      --
fc11/11    11     FX     off     up           swl   F      8      --
fc11/12    3      FX     off     up           swl   F      8      --
fc11/13    11     FX     off     up           swl   F      8      --
fc11/14    11     FX     off     up           swl   F      8      --
fc11/15    11     FX     off     up           swl   F      8      --
fc11/16    11     FX     off     up           swl   F      8      --
fc11/17    11     FX     off     up           swl   F      8      --
fc11/18    11     FX     off     up           swl   F      8      --
fc11/19    11     FX     off     up           swl   F      8      --
fc11/20    11     FX     off     up           swl   F      8      --
fc11/21    11     FX     off     up           swl   F      8      --
fc11/22    11     FX     off     up           swl   F      8      --
fc11/23    11     FX     off     up           swl   F      8      --
fc11/24    11     FX     off     up           swl   F      8      --
fc11/25    11     FX     off     up           swl   F      8      --
fc11/26    11     FX     off     up           swl   F      8      --
fc11/27    11     FX     off     up           swl   F      8      --
fc11/28    11     FX     off     up           swl   F      8      --
fc11/29    11     FX     off     up           swl   F      8      --
fc11/30    3      FX     off     up           swl   F      8      --
fc11/31    1      FX     on      notConnected swl    --    --     --
fc11/32    11     FX     off     up           swl   F      8      --
fc11/33    11     FX     off     up           swl   F      8      --
fc11/34    11     FX     off     up           swl   F      8      --
fc11/35    11     FX     off     up           swl   F      8      --
fc11/36    3      FX     off     up           swl   F      8      --
fc11/37    11     FX     off     up           swl   F      8      --
fc11/38    11     FX     off     up           swl   F      8      --
fc11/39    11     FX     off     up           swl   F      8      --
fc11/40    11     FX     off     up           swl   F      8      --
fc11/41    11     FX     off     up           swl   F      8      --
fc11/42    3      FX     off     up           swl   F      8      --
fc11/43    11     FX     off     up           swl   F      8      --
fc11/44    11     FX     off     up           swl   F      8      --
fc11/45    3      FX     off     up           swl   F      2      --
fc11/46    11     FX     off     up           swl   F      8      --
fc11/47    11     FX     off     up           swl   F      8      --
fc11/48    3      FX     off     up           swl   F      8      --
fc12/1     1      FX     off     down         swl    --    --     --
fc12/2     11     FX     off     up           swl   F      8      --
